Invoice_Line,Related_Doc,Code,Charge_Name,Charge_Type,Description,Amount,Mileage,Family,SKUs,TV_Size,TV_Qty,Status,Strategy,Expected,Diff,Contract_Ref,Note
2,8667991174,1305792,Installation Fee,installation,Not Home,87.36,24.77,,,,,MATCH (Not Home / Attempt),NotHome_Universal,87.36,-0.0,Universal Attempt Fee (Base $77.0),Calc: $77.0 * 1.13455 (GRI) = $87.36
3,7324722690,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,150.57,"ranges, home-appliances-accessories, dishwashers, refrigerators","RA-F36DB3MT/AA, DW80CG5451MTAA, RF30BB6600APAA, NSI6DG9500MTAA, RA-F18DU3MT/AA, DM_HA_STANDARD",,,UNDERCHARGED (FSA),,13.22,-2.39,,Expected 12.4% of ($106.65 (Appliance Base)) = $13.22
4,7324722690,1002770,Truck Freight Charge,freight,Last Mile (Delivery),106.65,150.57,"ranges, home-appliances-accessories, dishwashers, refrigerators","RA-F36DB3MT/AA, DW80CG5451MTAA, RF30BB6600APAA, NSI6DG9500MTAA, RA-F18DU3MT/AA, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,106.65,0.0,XPO 2017 (Pg 22): Appliance Delivery 2 Unit(s) @ $94.0 Base,Calc: $94.0 * 1.13455 (Hist. GRI) = $106.65
5,7324722690,1002771,Truck Freight Charge,freight,Last Mile Surcharge,151.24,150.57,"ranges, home-appliances-accessories, dishwashers, refrigerators","RA-F36DB3MT/AA, DW80CG5451MTAA, RF30BB6600APAA, NSI6DG9500MTAA, RA-F18DU3MT/AA, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,151.14,0.1,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (150.57 - 75) mi * $2.0 = $151.14
6,7326695139,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,14.22,"cooktops-and-hoods, wall-ovens, refrigerators","DM_HA_STANDARD, NK36CB700WCGAA, RF90F23EECRAA, NQ70CG700DSRAA, NA36N7755TS/AA, HA-INST-BESPOKE00",,,UNDERCHARGED (FSA),,15.62,-4.79,,Expected 12.4% of ($125.94 (Appliance Base)) = $15.62
7,7326695139,1305771,Installation Fee,installation,White Glove,57.89,14.22,"cooktops-and-hoods, wall-ovens, refrigerators","DM_HA_STANDARD, NK36CB700WCGAA, RF90F23EECRAA, NQ70CG700DSRAA, NA36N7755TS/AA, HA-INST-BESPOKE00",,,MATCH (White Glove),Appliance_WhiteGlove_Observed,57.88,0.01,Inferred Pattern: Base $15 + $12/Extra (Qty 4),Calc: $51 * 1.135 (GRI) = $57.88
8,7326695139,1002770,Truck Freight Charge,freight,Last Mile (Delivery),125.94,14.22,"cooktops-and-hoods, wall-ovens, refrigerators","DM_HA_STANDARD, NK36CB700WCGAA, RF90F23EECRAA, NQ70CG700DSRAA, NA36N7755TS/AA, HA-INST-BESPOKE00",,,MATCH (Appliance Delivery),Appliance_Del_2017,125.94,0.0,XPO 2017 (Pg 22): Appliance Delivery 3 Unit(s) @ $111.0 Base,Calc: $111.0 * 1.13455 (Hist. GRI) = $125.94
9,7325953159,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,79.27,"all-in-one-washer-dryer-combo, refrigerators, dishwashers, ranges, microwaves","DW80CG4051SRAA, NE63A6311SS/AA, RS27T5200SR/AA, ME16A4021AS/AA, WD90F53AVBUS, DM_HA_STANDARD",,,UNDERCHARGED (FSA),,15.62,-4.79,,Expected 12.4% of ($125.94 (Appliance Base)) = $15.62
10,7325953159,1002770,Truck Freight Charge,freight,Last Mile (Delivery),125.94,79.27,"all-in-one-washer-dryer-combo, refrigerators, dishwashers, ranges, microwaves","DW80CG4051SRAA, NE63A6311SS/AA, RS27T5200SR/AA, ME16A4021AS/AA, WD90F53AVBUS, DM_HA_STANDARD",,,MATCH (Appliance Delivery),Appliance_Del_2017,125.94,0.0,XPO 2017 (Pg 22): Appliance Delivery 3 Unit(s) @ $111.0 Base,Calc: $111.0 * 1.13455 (Hist. GRI) = $125.94
11,7325953159,1002771,Truck Freight Charge,freight,Last Mile Surcharge,7.96,79.27,"all-in-one-washer-dryer-combo, refrigerators, dishwashers, ranges, microwaves","DW80CG4051SRAA, NE63A6311SS/AA, RS27T5200SR/AA, ME16A4021AS/AA, WD90F53AVBUS, DM_HA_STANDARD",,,MATCH (Mileage Surcharge),Appliance_Mileage_Observed,8.54,-0.58,Observed Rate: Excess Miles (>75) @ $2.0/mi,Calc: (79.27 - 75) mi * $2.0 = $8.54
12,7325573613,1002781,Truck Freight Charge,freight,Last Mile Fuel Surcharge,10.83,86.47,"microwaves, ranges","NSG6DG8550SRAA, ME21DG6500SRAA, HA-INST-RNG0G, DM_HA_STANDARD, HA-INST-MWO00",,,MATCH (FSA),FSA_12thAmd_Table,10.83,-0.0,12th Amd (Pg 6): FSA Table (Diesel $3.48),Calc: 12.4% of ($87.36 (Appliance Base)) = $10.83
13,7325573613,1305774,Installation Fee,installation,Complex Install (Costco - $35),39.71,86.47,"microwaves, ranges","NSG6DG8550SRAA, ME21DG6500SRAA, HA-INST-RNG0G, DM_HA_STANDARD, HA-INST-MWO00",,,SKIPPED,,0.0,0.0,,
