po_id,do_id,sku_id,line_item_status,order_status,product_family,product_division,display_name,product_type,index,id,score
SA352615860,7324722690,DW80CG5451MTAA,Delivered,Delivered,dishwashers,home-appliances,AutoRelease Smart 46dBA Dishwasher with StormWash™ in Fingerprint Resistant Matte Black Steel,Physical,usa-order-line-item-feed-v5.0.0-202510,36f78dc9-c91f-4001-ae9c-2068e0c2f73a,1.0
SA352615860,7324722690,RA-F36DB3MT/AA,Delivered,Delivered,home-appliances-accessories,home-appliances,Bespoke 3-Door French Door Refrigerator Panel in Matte Black Steel - Bottom Panel,Physical,usa-order-line-item-feed-v5.0.0-202510,3464ebf0-8443-44b3-987b-ca731424922e,1.0
SA566717106,7321503472,HA-HAUL-AWY,Delivered,Delivered,refrigerators,home-appliances,Haul away Old Appliance,Installation,usa-order-line-item-feed-v5.0.0-202511,cc495467-7348-4a84-8601-ab41552572b8,1.0
SA566717106,7321503472,HA-INST-REF00,Delivered,Delivered,refrigerators,home-appliances,Install Refrigerator,Installation,usa-order-line-item-feed-v5.0.0-202511,79d7f010-8f13-440a-b35e-17da0343efa6,1.0
SA538559931,7323150200,QN98Q7FAAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"98"" Class QLED Q7F 4K Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,f2b1101b-29df-4739-9d77-19c9dfbd10b5,1.0
SA158843033,7320396911,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,6b24a0da-f580-45b2-865d-9a9e5473664d,1.0
SA505904470,7320100842,DW80CG5450SRAA,Delivered,Delivered,dishwashers,home-appliances,AutoRelease Smart 46dBA Dishwasher with StormWash™ in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202511,fc4a71fa-1c53-42e2-a04f-5fd417dd24c9,1.0
SA157520616,7323882838,HA-INST-WAS00,Delivered,Delivered,washers,home-appliances,Install Washer,Installation,usa-order-line-item-feed-v5.0.0-202511,ea3e641f-e9d3-4910-bde7-36d81aaa3988,1.0
SA351164766,7322041709,QN98Q7FAAFXZA,Delivered,PartiallyDelivered,tvs,televisions-home-theater,"98"" Class QLED Q7F 4K Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,8113017d-da46-47eb-8156-4d5dbacdd803,1.0
SA563914840,7324123291,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,98ba252c-49f2-40e2-853d-38d95eaa5c0b,1.0
SA062880660,7320713270,L-INST/A1-EQ55,Delivered,Delivered,television-home-theater-accessories,televisions-home-theater,Professional TV mounting,Installation,usa-order-line-item-feed-v5.0.0-202511,da219b55-df35-4fcd-8feb-0b6903acf5f5,1.0
SA363114200,7321935443,RS22T5201SR/AA,Delivered,Delivered,refrigerators,home-appliances,22 cu. ft. Counter Depth Side-by-Side Refrigerator in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202511,2c57d3ed-f7c8-43f4-8616-9cfee492b987,1.0
SA363114200,7321935443,HA-INST-RNG0G,Delivered,Delivered,ranges,home-appliances,Install Appliance - Gas,Installation,usa-order-line-item-feed-v5.0.0-202511,956e25de-6205-42cf-a73a-2e5b58f1f834,1.0
SA363114200,7321935443,NX60A6511SS/AA,Delivered,Delivered,ranges,home-appliances,6.0 cu. ft. Smart Freestanding Gas Range with No-Preheat Air Fry & Convection in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202511,bbc2f29f-5cb0-4142-aa5a-bbc7b237d3dd,1.0
SA502423880,7325189950,RF29DB960012AA,Delivered,Delivered,refrigerators,home-appliances,Bespoke 29 cu. ft. 4-Door Flex™ Refrigerator with Beverage Center™ & Customizable Door Panels in White Glass,Physical,usa-order-line-item-feed-v5.0.0-202511,05a2de6f-104f-4dc2-917b-feabfa18ba67,1.0
SA009523530,7325948962,QN65LS03FWFXZA,Delivered,Delivered,tvs,televisions-home-theater,"65"" Class The Frame Pro LS03FW Neo QLED 4K Art Mode Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,ebb4aaf3-c356-4f99-be53-70f0f811d84b,1.0
SA564871723,7325189949,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,234976ad-d253-4444-84e9-1ff6551bde6f,1.0
SA033210300,7325267686,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202511,785fe27c-5ced-4623-bf80-05fe3df9bbbe,1.0
SA033210300,7325267686,QN75QN1EFAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class Neo QLED 4K QN1EF Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,af76043e-e2a8-4439-952a-59305c664ae7,1.0
SA338481380,7324475362,QN55Q6FAAFXZA,Delivered,Delivered,tvs,televisions-home-theater,55 Inch Class QLED Q6F 4K Smart TV (2025),Physical,usa-order-line-item-feed-v5.0.0-202511,ab508b39-cd62-44a5-bcb0-92b819ef2d80,1.0
SA107163173,7325863816,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202511,3b3772d1-c7af-4a19-808a-33dc08b4b310,1.0
SA133298511,7325340782,RZ11M7074SA/AA,Delivered,Delivered,refrigerators,home-appliances,11.4 cu. ft. Convertible Upright Freezer Refrigerator with Drawers in Stainless Look,Physical,usa-order-line-item-feed-v5.0.0-202511,3992bfd3-a2dc-45df-a029-3c44bdea0e2e,1.0
SA133298511,7325340782,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,64fdd910-e896-40bd-b339-8bcc50ba04b5,1.0
SA152869711,7324859916,WH46DBH100EWA3,Delivered,Delivered,washers,home-appliances,Bespoke AI Laundry Hub™ 4.6 cu. ft. Large Capacity Single Unit Washer with Steam Wash and 7.6 cu. ft. Electric Dryer in White,Physical,usa-order-line-item-feed-v5.0.0-202511,0de1c6f5-1342-4324-b3d4-65f87d12397a,1.0
SA307279458,7322746567,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,a8ed616d-2935-4009-8418-ed3350ecbb63,1.0
SA161062560,7324859890,QN55QN70FAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"55"" Class Neo QLED 4K QN70F Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,c7e309f7-bb02-4738-8d41-e4d20ed8d86e,1.0
SA151816803,7324655151,QN75QN1EFAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class Neo QLED 4K QN1EF Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,dab23784-011a-4071-a46e-d0b816329108,1.0
SA007977113,7325340784,ME11F7510MT/AA,Delivered,Delivered,microwaves,home-appliances,1.1 cu. ft. Smart SLIM Over-the-Range Microwave with 400 CFM Ventilation in Matte Black Steel,Physical,usa-order-line-item-feed-v5.0.0-202511,b9483026-8fd3-45a6-9912-5a01b6cc300b,1.0
SA559300360,7325948965,L-INST/A1-EQ55,Delivered,Delivered,television-home-theater-accessories,televisions-home-theater,Professional TV mounting,Installation,usa-order-line-item-feed-v5.0.0-202511,37229782-61d3-483a-9321-0723d25efb19,1.0
SA557026431,7324655167,QN75QN1EFAFXZA,Delivered,Delivered,tvs,televisions-home-theater,"75"" Class Neo QLED 4K QN1EF Samsung Vision AI Smart TV (2025)",Physical,usa-order-line-item-feed-v5.0.0-202511,52cdf4d2-e51b-41d0-a106-0740847ad695,1.0
SA104251430,7325449393,RF29BB8600APAA,Delivered,Delivered,refrigerators,home-appliances,Bespoke 4-Door French Door Refrigerator (29 cu. ft.) with Customizable Door Panel Colors and Beverage Center™,Physical,usa-order-line-item-feed-v5.0.0-202511,1c05cfc7-edc6-487a-becb-89c35f0f6523,1.0
SA169153206,7323267665,RF23BB8600QLAA,Delivered,Delivered,refrigerators,home-appliances,Bespoke 23 cu. ft. Counter Depth 4-Door French Door Refrigerator with Beverage Center™ in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202511,46586f71-580f-4461-bf0f-334eeb2a9a0e,1.0
SA139861043,7324205326,QN55Q6FAAFXZA,Delivered,Delivered,tvs,televisions-home-theater,55 Inch Class QLED Q6F 4K Smart TV (2025),Physical,usa-order-line-item-feed-v5.0.0-202511,22738f58-82a8-4df7-81e9-eac1f0318553,1.0
SA139861043,7324205326,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202511,355ed93e-f631-4405-bdaf-98ae5e1a35b7,1.0
SA154327936,7324147128,DM_CE_STANDARD_LARGE,Delivered,Delivered,,,Standard,Delivery,usa-order-line-item-feed-v5.0.0-202511,a57eda1e-3415-4d66-a0a9-94975c3e0644,1.0
SA060422103,7325573626,RS22T5561SR/AA,Delivered,Delivered,refrigerators,home-appliances,22 cu. ft. Counter Depth Side-by-Side Refrigerator with Touch Screen Family Hub™ in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202511,b210c324-856d-4392-b39f-aaa56bc6b3c0,1.0
SA532740754,7325573622,RF29BB8600QLAA,Delivered,Delivered,refrigerators,home-appliances,Bespoke 29 cu. ft. 4-Door French Door Smart Refrigerator with Beverage Center™ in Stainless Steel,Physical,usa-order-line-item-feed-v5.0.0-202511,0ea1b0a2-138f-4854-9cdc-4aa17c6f6ba0,1.0
SA550873211,7325573643,DM_HA_STANDARD,Delivered,Delivered,,,Home Delivery,Delivery,usa-order-line-item-feed-v5.0.0-202511,624c3a21-c8e9-4544-a615-1dde5968a167,1.0
SA550873211,7325573643,WA51DG5505AWUS,Delivered,Delivered,washers,home-appliances,5.1 cu. ft. Large Capacity Smart Top Load Washer with ActiveWave™ Agitator and Super Speed Wash in White,Physical,usa-order-line-item-feed-v5.0.0-202511,6a87dfde-5111-4502-b497-90aecde5a3e7,1.0
