Accessorial Items,$ Per Unit,Description
Additional major item (above 1),$17.00,Up to a maximum of 6 total items per threshold
Install washer / dryer pedestal during time of delivery,$16.00,When included with washer/dryer units
Installation of Icemaker,$32.00,Per occurrence
Door reversal,$ -,No Charge - Per occurrence
Haul away/disposal of old appliance,$18.00,Per item
Mileage surcharge > 75 miles from XPO hub,$3.00,Per 1 way mile from XPO hub
Inventory Storage - After 14 days,$1.00,Unit/Per Day
Miscellaneous Hourly Labor Charge,$28.00,Per hour. Must first be approved in writing by Samsung prior to billing
Stair carry above 3 flights,$ -,Unit/Flight - up to a max of 6 flights
Even Exchange (Same item type picked up at time of de),$25.00,Per item
Exchange only (pick up only / no delivery is being made),Regular rate,Stop/item/occurrence
Not at Home,$77.00,When confirmed pre-call and proof of visit
